Fish_ID,Date,Trawl_LED,Fulton_condition,Plasma_lactate,Plasma_glucose,Plasma_cortisol,Fat_percent
1,8/3/19,0,0.896876355,,,,1.674911228
2,8/3/19,0,1.037419188,,,,1.762476929
3,8/3/19,0,1.022629652,,,,2.224829238
4,8/3/19,0,0.953820885,,,,2.6184176
5,8/3/19,0,1.026233171,,,,1.942722162
6,8/3/19,0,0.87234606,,,,1.670344957
7,8/3/19,0,1.046186442,,,,3.332491312
8,8/3/19,0,0.974392405,,,,3.172691134
9,8/3/19,0,1.010525676,,,,1.962266467
10,8/3/19,0,1.035769029,,,,1.854620635
11,8/3/19,0,0.937409343,,,,2.087527113
12,8/3/19,0,0.926267132,,,,1.854620635
13,8/3/19,0,0.981762389,,,,1.99285875
14,8/3/19,0,1.042244873,,,,1.951581688
15,8/3/19,0,1.17303993,,,,2.273953999
16,8/3/19,0,1.090264086,,,,2.151166312
17,8/3/19,0,0.853923713,,,,1.678980615
18,8/3/19,1,0.947261613,,,,2.003769519
19,8/3/19,1,0.945705035,,,,2.027614879
20,8/3/19,1,0.935279254,,,,2.795721369
21,8/3/19,1,1.034518763,,,,2.057352919
22,8/3/19,1,0.971741228,,,,2.608903886
23,8/3/19,1,0.962661077,,,,2.693334901
24,8/3/19,1,1.014102295,,,,1.616511069
25,8/3/19,1,0.960573322,,,,2.174785776
26,8/3/19,1,0.927165942,,,,1.780207919
27,8/3/19,1,1.041352205,,,,2.33051708
28,8/3/19,1,0.974085413,,,,2.000125975
29,8/3/19,1,0.955097506,,,,1.895571101
30,8/3/19,1,0.970484992,,,,1.760873805
31,8/4/19,1,0.875612566,,,,2.114292341
32,8/4/19,1,1.017504445,,,,2.332638816
33,8/4/19,1,0.996739048,,,,2.690885081
34,8/4/19,1,0.992293644,,,,2.566518127
35,8/4/19,0,1.148768475,,,,2.666509106
36,8/4/19,0,2.322633579,,,,2.292654155
37,8/4/19,0,0.892034252,,,,2.151166312
38,8/4/19,0,0.925543402,,,,1.856309108
39,8/4/19,0,0.935802606,,,,1.597500413
40,8/4/19,0,1.110039684,,,,4.20670704
41,8/4/19,0,1.069052392,,,,2.71548389
42,8/4/19,0,1.035910947,,,,2.693334901
43,8/4/19,0,0.987940888,,,,2.805916338
44,8/4/19,0,0.85526491,,,,1.670344957
45,8/4/19,0,0.94702767,,,,1.904215601
46,8/4/19,0,1.048466569,,,,2.678669366
47,8/4/19,1,0.920196996,,,,1.570117042
48,8/4/19,1,0.988828421,,,,2.068616789
49,8/4/19,1,1.155694558,,,,2.204675133
50,8/4/19,1,1.134754441,,,,2.492858804
51,8/4/19,1,1.024474892,,,,3.571123192
52,8/4/19,1,1.138935016,,,,3.663284561
53,8/4/19,1,0.934331693,,,,3.05371892
54,8/4/19,1,1.063085739,,,,3.239795355
55,8/4/19,1,0.823348562,,,,1.756073175
56,8/4/19,1,1.107250814,,,,3.169805298
57,8/4/19,0,1.056519157,,,,2.278096363
58,8/4/19,0,1.113393832,,,,2.076160275
59,8/4/19,0,1.051572001,,,,1.688685078
60,8/4/19,0,0.980656285,,,,2.747798831
61,8/4/19,0,0.91532734,,,,2.162943804
62,8/4/19,0,1.041987775,,,,3.975935896
63,8/4/19,0,1.177272966,,,,2.554866996
64,8/4/19,0,1.094270898,,,,2.71548389
65,8/4/19,0,1.089047726,,,,2.093233848
66,8/4/19,0,0.978130799,,,,2.089427627
67,8/4/19,0,1.104946233,,,,2.208691295
68,8/4/19,0,1.077584529,,,,2.836724853
69,8/4/19,0,0.905059038,,,,1.600410511
70,8/4/19,0,1.118134649,,,,2.86787164
71,8/4/19,0,0.949275284,,,,1.91638417
72,8/4/19,0,1.001334743,,,,2.155085
73,8/4/19,0,1.102817736,,,,2.282246274
74,8/4/19,0,0.984039854,,,,1.613571695
75,8/4/19,0,1.074694249,,,,2.966076886
76,8/4/19,0,0.978759804,,,,2.326279397
77,8/4/19,0,0.969808924,,,,1.699476336
78,8/4/19,0,0.933853273,,,,2.48606258
79,8/4/19,0,0.927165942,,,,3.626798002
80,8/4/19,0,1.065485357,,,,1.84284425
81,8/4/19,0,1.056068753,,,,2.035008846
82,8/5/19,0,1.032336871,,,,1.897296856
83,8/5/19,1,1.004382088,,,,1.631288455
84,8/5/19,1,1.04920854,,,,3.78872733
85,8/5/19,1,1.018670749,,,,2.13362021
86,8/5/19,1,1.024474892,,,,3.733963111
87,8/5/19,1,0.931033448,,,,2.26775457
88,8/5/19,1,0.974085413,,,,1.834478355
89,8/5/19,1,1.081399908,,,,2.828991155
90,8/5/19,1,1.0614106,,,,2.226854755
91,8/5/19,1,1.02047093,,,,1.876691087
92,8/5/19,1,1.171144941,,,,3.666619667
93,8/5/19,1,0.981762389,,,,2.184703597
94,8/5/19,1,1.044562635,,,,1.778588667
95,8/5/19,0,1.061758541,,,,2.053611942
96,8/5/19,0,1.120021176,,,,1.909421212
97,8/5/19,0,0.920196996,,,,2.276024239
98,8/5/19,0,1.019288199,,,,2.713013924
99,8/5/19,0,0.977404718,,,,2.298921652
100,8/5/19,0,1.035769029,,,,1.783450848
101,8/5/19,0,0.900563996,,,,2.049877768
102,8/5/19,0,0.925973484,,,,1.682549438
103,8/5/19,0,1.003197969,,,,1.693301487
104,8/5/19,0,1.139903209,,,,2.720430571
105,8/5/19,0,1.129597937,,,,6.164950861
106,8/5/19,0,1.115398459,,,,1.604785601
107,8/5/19,0,0.94412392,,,,1.718136316
108,8/5/19,0,1.046815273,,,,1.839493323
109,8/5/19,0,0.94406664,,,,2.311508094
110,8/5/19,0,1.012032608,,,,1.793215121
111,8/5/19,0,0.982791507,,,,2.044289233
112,8/5/19,0,0.980846947,,,,1.92337252
113,8/5/19,0,1.083104869,,,,2.676232885
114,8/5/19,0,1.003907405,,,,1.671865662
115,8/5/19,0,0.939584753,,,,2.166883946
116,8/5/19,0,0.91901478,,,,2.292654155
117,8/5/19,0,0.964965519,,,,3.42160646
118,8/5/19,0,0.887565359,,,,2.012907443
119,8/5/19,0,0.929202346,,,,2.381975454
120,8/5/19,0,0.968279107,,,,1.829477059
121,8/5/19,0,1.185621929,,,,2.630358545
122,8/5/19,0,1.210594224,,,,1.881821453
123,8/5/19,0,0.959580666,,,,2.805916338
124,8/5/19,0,0.961360965,,,,1.767295065
125,8/5/19,0,0.93801191,,,,2.960683536
126,8/5/19,0,0.918856995,,,,1.707226572
127,8/5/19,0,0.96637044,,,,1.704122245
128,8/6/19,1,0.945450056,,,,1.880109775
129,8/6/19,1,0.981389318,,,,1.682549438
130,8/6/19,0,0.932470525,,,,2.311508094
131,8/6/19,0,1.009174684,,,,2.474776691
132,8/10/19,0,1.02361518,,,,2.265691852
133,8/10/19,0,0.955097506,,,,2.085628327
134,8/10/19,0,1.011289077,,,,3.245697152
135,8/10/19,0,1.065485357,,,,2.108528194
136,8/10/19,0,1.05793458,,,,1.863078386
137,8/10/19,1,0.874396173,48.21,32.71,142.96,1.973009744
138,8/10/19,0,0.937409343,5.02,37.46,80.21,1.649199743
139,8/10/19,0,0.952070521,14.44,34.2,140.26,1.873278615
140,8/10/19,0,0.954167791,49.57,11.08,110.51,1.965841044
141,8/10/19,0,1.044202812,49.56,22.52,56.82,2.75531057
142,8/11/19,0,0.911586958,17.51,35.25,33.27,2.405938764
143,8/11/19,0,1.058595344,4.42,,69.68,2.836724853
144,8/11/19,0,0.869449599,43.94,73.81,79.73,1.944490844
145,8/11/19,1,1.021288079,49.01,40.64,383.33,2.578222391
146,8/11/19,0,0.881436784,13.23,9.59,131.55,1.78832632
147,8/11/19,0,1.133451562,53.53,21.36,125.54,2.805916338
148,8/11/19,0,0.941052583,34.93,11.89,146.32,1.649199743
149,8/11/19,0,1.313272649,,10.86,251.88,2.091329872
150,8/11/19,1,1.181067535,,,,2.805916338
151,8/12/19,1,0.978138092,6.06,30.12,247.81,2.909933317
152,8/12/19,1,0.893132378,24.57,26.89,238.26,2.26775457
