Sample _ID,Expedition,Area,Time_of_day,Trawled_area,LOD,Plastic_uncorrected,V.velella,Halobates.spp,J.janthina,P.porpita,P.physalis,Glaucus.spp,Copepods,Amphipods,Pteropods,Isopods,Heteropods,Crabs,Squid,Euphausiids.shrimps,Fish
1,NPM3,A,day,0.0008635,1158,22003.4,52113.32,,,,,,,5790.37,,,,,,,
2,NPM3,A,day,0.00176832,566,18661.83,132894.87,,,,,,,,,,,,,,2827.55
3,NPM3,A,day,0.00172026,581,23833.63,134282.18,,,,,,,,,,,,,,3487.85
4,NPM3,B,day,0.00142512,702,57539.03,,11227.13,11227.13,,,,28769.51,,,,,,,,2105.09
5,NPM3,B,day,0.00120389,831,90539.62,,34056.19,,,,,107152.4,830.64,,,,,,,3322.55
6,NPM3,B,day,0.00154368,648,38220.41,,24616.53,,,,,50528.67,647.8,,,,,,,7773.64
7,NPM3,B,day,0.00125526,797,19916.14,,25492.66,796.65,,,,17526.2,,,,,,,,796.65
8,NPM3,B,day,0.00135467,738,713828.78,,58316.93,19192.91,,738.19,,52411.42,,,,,,,,10334.65
9,NPM3,B,day,0.0015965,626,874412.97,,15032.89,1879.11,,,,127153.18,626.37,,,,,,,1879.11
10,NPM3,B,day,0.00174819,572,253976.61,,9152.31,2860.1,,,,13728.47,,,,,,,,572.02
11,NPM3,B,day,0.0013261,754,245833.04,,11311.34,3770.45,,,754.09,16589.96,1508.18,,,,,,,754.09
12,NPM3,B,day,0.00181848,550,357442.12,,10998.22,0,,,,24745.99,,,,,,,,4949.2
13,NPM3,C,day,0.00161614,619,81057.41,,9900.14,1237.52,,,,14850.21,,,,,618.76,,,7425.11
14,NPM3,C,day,0.00153306,652,46312.59,,20873.28,4566.03,,,,652.29,,,,,,,,652.29
15,NPM3,C,day,0.0015616,640,122950.85,,16649.59,640.37,,,,43545.09,,,,,,,,3842.21
16,NPM3,C,day,0.00217681,459,135978.67,,38129.16,2756.32,,,,4369693.09,,459.39,,,3675.1,918.77,,918.77
17,NPM3,C,day,0.00121969,820,69690.06,,16397.66,8198.83,,,,1731593.11,819.88,4099.42,,,819.88,,,1639.77
18,NPM3,C,day,0.00184348,542,193112.58,,32547.06,542.45,,,,468677.72,,,,,2169.8,542.45,,1084.9
19,NPM3,C,night,0.00164818,607,126806.19,,32763.32,5460.55,,,,808161.93,3640.37,,,,12134.56,,40650.79,2426.91
20,NPM3,C,night,0.00177743,563,129962.7,,33756.55,0,562.61,,,517600.37,7876.53,,,,10689.57,562.61,,3375.65
21,NPM3,C,night,0.00172589,579,67790.98,,18541.12,0,,,,2410346.02,9849.97,,,,6373.51,,30129.33,2897.05
22,NPM3,C,day,0.00147954,676,135853.27,1351.77,11490.08,,,,,786732.34,675.89,49339.74,,,2703.55,,,1351.77
